jobTitel,Company,Location,jobDescription,postDate
Data Engineer,FAIRTIQ AG,Germany,"Full job description
As a Data Engineer on the Pi squad, you will be responsible for developing, improving and maintaining our analytics infrastructure. Our goal is to allow internal and external teams to use data-driven approaches to improve their daily operations. On a daily basis, you will be helping public transport companies improve their services, giving our teams greater insight into the impact of their work, and continuously improving our big data infrastructure.Responsibilities Maintain and improve our big data infrastructure Write clean, maintainable, simple, testable, scalable and efficient code Develop efficient ETL jobs to generate valuable data Participate in an agile software development process Monitor production systems Work with engineers and product experts to expand our solution worldwide Work with a mentor and fellow colleagues to grow as a Software Engineer Define, together with the team, the evolution of the product Collaborate with other teams to understand their needs and coordinate effortsWhat we are looking for BSc or MSc in computer science or a related field 3+ years work experience Good team player Creative, self-confident, independent Rigorous and disciplined Fluency in English Experience in Python and Apache SparkPlease apply in English exclusively.We only accept candidates who are currently based or have eligibility to work in EU countries and are willing and able to obtain a work permit in Portugal, the UK, Germany and Switzerland.Find out more about our benefits, teams, company culture and tech stack on our FAQ page here!At FAIRTIQ , we don't just accept difference, we celebrate it, we support it, and we thrive from it for the benefit of our employees, our products and our community. FAIRTIQ is a proud equal opportunity workplace. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability or gender identity.Data Protection - Your personal data will be held by Fairtiq for a maximum of 12 months. Under the GDPR, you have the right to request access to your personal data, to request that your personal data be rectified or erased, and to request that processing of your personal data be restricted. Please contact dataprotection@fairtiq.com if you wish for your data to be removed.",25/04/2022
Data Scientist Global Sales Performance (m/w/divers),Lufthansa Cargo AG,"Frankfurt am Main, Germany","Job Description


employment type
full time
part time



Full job description


Are you a data scientist and simply passionate about aviation and logistics? Perfect, we are looking for you! Shape the future of sales in air cargo in a team that, thanks to you, will become even smarter, more automated and more data-driven.
tasks
As Data Scientist Global Sales Performance at Lufthansa Cargo you are responsible for the following tasks:
Specifying and further developing the sales analytics tools, algorithms and methods with the aim of increasing efficiency in the sales process and promoting data-driven action, ensuring the improvement of operations through close cooperation with the DevOps organization
Preparation of data and data analysis in the LH Cargo Analytics environment using common data science tools and extraction of the desired information to improve sales management and analyses
Creation and further development of the sales analytics strategy, models and methods based on structured findings from the best practices of the Lufthansa Group and other industries, new technologies and strategic fields of action
requirements
What you bring with you:
Completed university studies in the field of data science, computer science, mathematics, statistics or knowledge and skills to be evaluated through relevant training and professional practice for the task
Very good knowledge of business intelligence / analytics tools and methods (e.g. with Microstrategy, RapidMiner, R, Python), many years of practical experience are an advantage
Very good knowledge of data sciences, predictive analytics, decision support, data mining methods
Business fluent in English and German
Benfits
Assistance with relocation
Flexible working hours
Job ticket
Canteen (subsidized by the employer)
Promotion of studies / master's degree / doctorate
development programs
Profit sharing / LVV (bonus)
Family service (support in finding childcare options)
Retirement plan / company pension
Free parking
flight discounts
Financial advice / social advice
company doctor",30/05/2022
Data Analyst / Statistician Working Student (m/f/d),OroraTech,"Munich, Germany","Job Description


employment type
part time



Full job description

the missionMunich-based OroraTech is developing a constellation of nano-satellites with thermal infrared cameras for automated wildfire detection, severe weather warnings, and various other applications. The new constellation will significantly reduce the detection time of wildfires and allow their near-real-time monitoring, thus empowering first responders, government, and insurance clients and decreasing the chances of developing megafires. OroraTech is developing the first global wildfire intelligence service, which includes early detection, real-time monitoring, risk assessment, and damage analysis capabilities. This is achieved by running multiple parallel anomaly detection algorithms on data from a variety of existing satellites. You will be joining a very dedicated and highly enthusiastic team of experts in the fields of remote sensing, optics,
What you'll be doingAs a Data Analyst Working Student you will:
Design, build and maintain robust analytical dashboards and data models to analyze data from various sources
Identify trends and patterns in environmental data and wildfire occurrences
Visualize data for fast insight generation
Work closely together with data scientists, data engineers, project managers, and business stakeholders to identify the best data-informed decision-making processes possible
Contribute to the development of data integration processes and ETL pipelines
Relevant skills
Shown practical experience (acquired at prior jobs, internships, university projects, open-source projects, academia/research, etc.)
You are proactive, structured, like to bring in your own ideas, and can acquire new skills independently
Strong communication skills
Fluent English, German is a plus
Advanced programming skills in at least Python; git
About usAt OroraTech, you can expect a down-to-earth yet high-caliber work environment. You will be part of the OroraTech team - a talented, international, and open-minded team that is highly motivated to create impact. OroraTech allows you to grow on a professional and personal level.
You have the opportunity to become part of our firefighting mission from space and deliver the tools to better cope with natural disasters and mitigate climate change - could a job be any cooler?
You will be responsible for your own project(s), time management, and sometimes even budget.
You will gain insights into the most exciting new technologies and business models.
We value perfect espresso and (oat milk) flat white through our high-grade espresso machine. Additionally, free drinks, beer, and snacks are always available at the office.
Access to mobility or sports benefits (Urban Sports Club) after your probation period.
Yes, we have a pool and access to the rooftop terrace at the office compound!
There is the opportunity to become part of our virtual employee stock option program (VESOP).
You will always have a great story to tell at parties!
If you apply: We value well-crafted motivation letters stating how you learned about OroraTech, why you think you would be a great addition to the team and why you want to work at a NewSpace start-up. Please always include references of your prior work (for example, your thesis, talks, papers, code repositories, websites, write-ups, articles, apps, exposes, anything), if permissible. Please avoid detailed grade reports and online certificates. Please also list your earliest starting date and expected salary.
Job Type: Part time",27/04/2022
Data Scientist,OctaVIA AG,"Kassel, Germany","OctaVIAAG | Tischbeinstrasse 32 | 34121 Kassel | Phone: +49 (0) 561 / 31 000 0 | Fax: +49 (0) 561 / 31 000 31www.octavia.de | bewerbung@octavia.de
flexible working hours and 30 vacation days
cell phone and laptop
Car incl. fuel card for private use
free supplementary health insurance
employer-funded pension
up to two service bikes possible
Then we havethe right job for you
For 25 years, our strength has been SAP consulting and development.
We have our locations in Kassel and Cologne.
Your contact person:• Derya Kloweit I email: bewerbung@octavia.de I phone: +49 (0) 561 / 31 000 520
WE ARE LOOKING FORREINFORCEMENTS
flexible place ofwork
and -contemporary
design
DATA SCIENTIST (m/f/d)Completed degree in computer science, business informatics or comparable qualification
Affinity for Big Data, Data Mining and Knowledge & Data Engineering
strong analytical thinking
initiative and personal responsibility
You have strong communication skills, a friendly demeanor, a sense of responsibility and a willingness to travel

Your tasks:• Conception, technical design and implementation considering technical trendscoaching and advising person in information systems based on e.g. B. SAP Analytics Cloud, Business

Technology Platform or Cloud Platform IntegrationRealization of customer requirements
Further development of topics and knowledge sharing in our active analytics community",16/05/2022
Data Engineer (m/f/d) / Data Engineering & Process Analytics,Springer Nature,"Heidelberg, Germany","Full job description
Springer Nature opens the doors to discovery for researchers, educators, clinicians and other professionals. Every day, around the globe, our imprints, books, journals, platforms and technology solutions reach millions of people. For over 175 years our brands and imprints have been a trusted source of knowledge to these communities and today, more than ever, we see it as our responsibility to ensure that fundamental knowledge can be found, verified, understood and used by our communities – enabling them to improve outcomes, make progress, and benefit the generations that follow.Visit: group.springernature.com and follow @SpringerNature.sfpanel .content {padding: 0 40px !important;}

Who we are:In the Data Engineering & Process Analytics department you will join a team working at the vibrant pulse of Springer Nature's publishing workflows. Springer Nature is a leading publisher of scientific books, journals and magazines with over 3,000 journal titles and one of the world's largest corpora of peer-reviewed scientific text data. We combine data from a variety of systems to deliver both high quality data products and business intelligence to our consumers. We are also an enabler for AI initiatives, continuous improvement and process transformation monitoring.We take our work seriously but not ourselves, placing more importance on building collaboration and relationship than on solo heroics. We are committed to growing and nurturing our people for the long term. Our mission is to perform together to lay the foundation for analyzing today's processes to make tomorrow's publishing more efficient and rewarding for our customers.

Who are you:You have profound experience in Data / Software Engineering on a cloud platform. You are as much into working with data, processes and software solutions as you are into working with people. You enjoy getting involved with every stage of the engineering lifecycle. Moreover, you would describe yourself as a get-it-done person and out-of-the-box thinker who appreciates the cultural diversity of a global company. You have already gained professional experience in international projects, you value self-dependency and reliability as much as we do, and you would be ready to get trained on the job.

What you will do:Analyze, normalize and transform data from various in-house systems to build and provide data products for various stakeholders across the organizationImplement cloud-based data pipelines and data models for process miningHelp to advance our cloud-based pipeline infrastructureMonitor the data pipelines, ensure their reliability, test data integrity and help troubleshoot any issuesMaintain existing reporting systems, both proprietary and third-partybuild Dashboards for production workflowsDevelop best practices and blueprints that can be used across projectsIf you have an interest in data science there may be opportunities to apply machine learning techniques to these datasets to assist in the work of domain teams

What we expect:University degree in the area of ​​computer science, engineering or a comparable educationSolution-oriented problem-solver, proficient and experienced with SQL and PythonExperience with different DBs and data warehouse systems (e.g. MS SQL server, Postgres, Vertica, Google Big Query)Experience with data pipelines and ETL and ELT processes, ideally for larger volumes of data using technologies such as Apache Spark, Apache Beam (Data Flow) or Apache Airflow (Cloud Composer)Strong analytical, organizational and problem-solving skillsAbility to adapt and drive changeExcellent command (business fluent) of English, basic German-language skills

What we would appreciate:Basic project management skillsExperience with the Google Cloud Functions, DBT (Data Build Tool)Experience with BI tools like Google Data Studio and / or LookerExperience with (ready-to-use) AI models from the natural language processing (NLP) domainUnderstanding of data and distributed systems concepts, a familiarity with the Data Mesh ArchitectureKnowledge of scientific publishing processes

Terms:New position, to be filled as soon as possiblePermanent contractWorking hours: full-timeCompany and location: Springer-Verlag GmbH, Heidelberg (Germany) or Springer Nature BV, Dordrecht (The Netherlands)ID: 41224Please apply using our online application system (SuccessFactors) stating your salary expectations and your earliest date of joining.At Springer Nature we value the diversity of our teams. We recognize the many benefits of a diverse workforce with equitable opportunities for everyone. We strive for an inclusive workplace that empowers all our colleagues to thrive. Our search for the best talent fully encompasses and embraces these values ​​and principles.Visit the Springer Nature Editorial and Publishing website at www.springernature.com/editorial-and-publishing-jobs for more information about our Research E&P career opportunities.",25/04/2022
Data Engineer/DWH-Developer (m/w/d),CleverShuttle-Business Intelligence,"10829 Berlin, Germany","Would you like to drive the mobility revolution forward? Then you've come to the right place! CleverShuttle is Germany's leading operator of on-demand ride pooling. As a partner of public transport, we bring efficient and emission-free on-demand transport onto the road. In cooperation with cities, districts and transport companies, we are making a decisive contribution to the mobility revolution and giving more people access to mobility.
In order to advance data-driven decisions for critical business processes, we are looking for you as a DWH and ETL expert for CleverShuttle in Berlin.You will be an important part of the business intelligence team, which, in addition to reporting important key figures, is primarily concerned with optimizing supply management with the help of mathematical methods.
Your tasks:

You apply AWS-native big data and ETL solutions
You develop software to connect new data sources from changing software partners, e.g. via API calls or webhooks
You improve test coverage and monitor the pipeline
You work professionally and technically on data modelling/construction of fact tables
You form the interface between engineering and BI/reporting teams
your profile

You have at least 2 years of relevant work experience
You are fluent in SQL and other data-specific languages ​​such as Python or Scala
You also feel comfortable in the field of software development with Java
You enjoy designing and developing a reportable data warehouse
In addition, you have already worked with AWS-native Big Data and ETL solutions
If you already have experience mining data from non-relational databases, that's a plus
Thanks to your ability to work in a team, your commitment and your proactive communication, you interact safely and successfully - both on site in the office and remotely
You have very good written and spoken German or English skills
We offer you that
A common mission: A sustainable mobility turnaround for Germany
Room for your personal development: Further training options are important to us and part of our corporate culture
With the OKR framework, we promote transparent goals and work together on the success of our mission
Flexible working hours and the possibility of hybrid work
Flat hierarchies, we have no time for corporate inertia
The opportunity to use our electric vehicle fleet privately and to make use of a job bike offer
Discounted sports offers from our partner ClassPass and attractive sustainable offers from the FutureBens platform
Regular team events and joint sports activities
A wide selection of drinks and fruit. One or the other after-work beer is also provided",06/05/2022
Data Engineer (all genders),Fraugster,"Berlin, Germany","At Fraugster we live and work by the principle of diversity, inclusion and belonging as we care about each other & our individual needs. While we hold ourselves to the highest standards of work we believe in success achieved by people of all backgrounds, identity, gender and nationalities.
In order to strengthen our diverse team, we are seeking an experienced hands-on data engineer to join the DataCore team. A team of 6 friendly and smart people. The team consists of data scientists and back end developers and is responsible for our key data processes, enabling AI, finance and other data user teams to take better decisions faster.
As Fraugsters only data engineer you are going to work with teams such as machine-learning, fraud analytics, finance, customer-success and collaborate with our other engineering teams.
How will you contribute to our mission?
Take care of our bread and butter: our data
Expand the impact of our data teams, by consulting & contributing to database and data warehouse solutions
Build infrastructure required to optimally extract, transform, and load data from a variety of data sources using various modern and big data technologies
Integrate new data sources into our cloud presto (AWS Athena) data lake
You advise feature teams on best practices and cost optimization steps
Uphold data best practices amongst various teams via code reviews
To be successful at this position, we think you should have/be:

2+ years of hands-on domain experience, independent enough to data-engineer without professional mentorship
Experience in data modeling, building and maintaining ETL pipelines
Applied experience in sql and python
Cloud architecture familiarity
Airflow experience (plus)
Motivated to learn go (plus)
You enjoy working within a team that is diverse and has multiple roles
Comfortable with agile methodology and working in sprints
Business level/ Fluency in written and spoken English
What we offer:
Fast track your career by gaining responsibility quickly, and working alongside motivated, collaborative and supportive industry leaders.
Creative, diverse, and focused teams committed to learning and problem-solving through collaboration.
A safe and open space to follow your individual growth objectives, very flexible working hours, remote-work opportunities as well as full support for family/private situations through flexible parental & compassionate leave policies.
A Learning & Development culture that includes an educational budget also during the probation period.
Competitive remuneration including virtual company shares.
Regular feedback workshops and monthly events on topics related to Diversity & Belonging
Relocation and Visa support
Free German classes (A1, A2, B1, B2)
Yoga & Meditation Classes
About Fraugster:
Fraugster is a payments intelligence company that helps the e-commerce ecosystem to minimize fraud and maximize revenue by making smarter real-time business decisions. We help our customers solve multiple use cases by giving them access to various, interoperable products via one integration. Fraugster has developed one of the most accurate AI fraud prevention solutions on the market and is backed by some of Europe’s most reputable deeptech investors from Earlybird to Speedinvest, CommerzVentures and Munich Re Ventures.
Our product was built by people from all over the world and we continue to uphold the value of a diverse workforce. We are a family friendly company that supports employees in their individual life circumstances. The culture that we stand for is defined by intellectual curiosity, collaboration and caring for each other.
Upon clicking ""Send"", you will submit your contact details and CV. For more information on how Fraugster processes your information, click here. Processing is based on your consent and you may withdraw it at any time",06/06/2022
Senior Data Scientist (m/f/diverse) @ AVIATAR,Lufthansa Technik AG,"Hamburg, Germany","Job Description


employment type
full time



Full job description
Ever wondered what aircraft Black Box data looks like? It is an amazing data source and we have a lot of it. We love statistics and mathematical modelling and utilize the full range of available models to analyze sensor measurements recorded under extreme outside conditions during the flight. Curious?FactsLocationHamburgEmployment levelDirect entryFunctionEngineering, ITWorking timeFull timeTasksWe‘d love you to join us, to be part of our team and to create a whole new range of possibilities!We have an ML Ops production setup with a state of the art analytics stack in the GCP where you’ll find all the resources that your model needs: distributed calculation engines, cloud based ML trainings and notebooks, an AI platform.We’ve left migrations and technical debt behind. Our Data Scientists spend their time doing what they love most: solving hard predictive maintenance problems using the latest Data Science tools.We do Machine Learning in a real time production environment. If you’re done with machine learning MVPs and want to leave the notebooks on your laptop behind, let us know.If this sounds like the setup you were looking for, become part of our industry-leading data science team and get involved in solving real world problems with top-notch models! Join AVIATAR!ContactDimitri ReiswichAVIATARLufthansa Technik AGE-mail address for inquiriesdimitri.reiswich@lht.dlh.deBenefitsOld-age provision / employee retirement, Financial consulting / social counseling, Profit sharing / LVV (bonus), Free parking, Lufthansa shares, Flight privileges, Canteen (subsidized by employer), Jobticket, Discounts / shopping, Employee events (summer festivals, participation in sports competitions etc), Sabbatical / exemptions, Part-time models, Family days (family learns workplace know), Flexible working hours, Development programs, Binding program / network program, Doctor‘s office, Fitness studio / sports facilities / company football etc., Have a showerBehind the scenesVideo: https://player.vimeo.com/video/649842590Team Technik is waiting for you.AVIATAR is Lufthansa Technik’s digital “corporate start-up”. We develop data and engineering driven software solutions for airline’s technical operations. Our international agile teams develop and operate every step of the way – from data acquisition to prediction and optimization solutions.Video: https://player.vimeo.com/video/687017651Team Technik is waiting for you.We love flying, travelling and exploring the world! If you share our passion, join us.
Requirementscompleted university / technical college degree in mathematics, statistics, physics, computer science or a related subjectat least 4 years of experience in the area of Data Scienceknowledge of advanced statistics, Machine Learning and models such as Gradient Boosted Trees, Regression, SVMs, Neural Networks, Outlier Detection, Bayesian Networks, Markov Chain Monte Carlo, Changepoint Detectionsubstantial experience in Python and the application of state of the art libraries, e.g sklearn, numpy, pandas, tensorflow, keras, pytorchknowledge of development environments such as Jupyter, PyCharm, GIT, CLIexperience with container solutions, e.g. OpenShift, Docker, Kubernetes and cloud platforms (Azure / AWS / GCP)knowledge of unit testing, integration testing, CD/CI, build pipelinesCompanyAbout Lufthansa Technik AGLufthansa Technik is the world's leading provider of maintenance, repair and overhaul services and modifications in the aviation industry. With more than 20,000 employees and over 30 international subsidiaries, the Lufthansa Technik Group offers a full range of aircraft technology services to around 800 customers around the world. What makes us so successful? We do. The people at the Lufthansa Technik Group. Whether engineering, IT or logistics, first-year apprentice or highly specialized professional - we not only keep aviation in motion. We are working on its future every day. We are innovators, technoholics and those who think aviation forward. Our pioneering spirit discovers the next horizon even in the smallest detail. We are Aviationeers. What about you?",16/05/2022
Data Analyst,Coin360,"Sankt Julian, Germany","Full job description


Coin is the leading digital asset data provider with more than . million monthly visitors. With a proven track record and unrivaled experience, we are delivering real-time data on digital assets, exchange liquidity for traders, hedge funds, investment companies and crypto enthusiasts since .
We are looking for an ambitious, talented, highly proactive data analyst to lead our efforts in understanding Coin's audience and delivering a better product. The Data Analyst will work closely with the development team, providing support for building the content management system, and with the sales team to build BI (in PowerBi or Tableau) dashboard tracking the performance of website traffic (sourced from Google Analytics and AdButler) and marketing metrics (from HubSpot).
responsibilities
Provide analysis on the digital asset market (new tokens, coins) to be listed on Coin.com
Work with sales and marketing team to design key performance metrics to be tracked for BI dashboard
Apply statistics and modeling to improve the efficiency of systems
Work with Head of Product and developers to design data products and debug A/B tests
Interact with BI tools and conduct SQL queries on our own database
Assist with other responsibilities on the development and marketing and sales teams
Qualifications
+ years of data analysis experience with proven record of working with business intelligence tools
Advanced coding skills (Python, R)
Confident working with APIs
Experience working with Adbutler, Hubspot and Google Analytics
Ability to drive changes across teams and effectively communicate between product, marketing and development teams
Strong writing skills
Native or fluent English proficiency
Be structured and able to direct your own work
Strong command of crypto and finance and a willingness to learn more
High ethical standards, attention to detail and strong interpersonal skills
We offer
Opportunity to work in an exciting perspective industry and a fast-growing company
Space to learn and build experience in a rapidly evolving field of technology
Ability to acquire knowledge and experience in a scope of the perspective and developing fields
Working remotely or in our offices in Malta
Flexible working hours
Highly autonomous work environment
Possibility to grow the role to full-time employment",11/04/2022
Business Intelligence / Data Science Lead (f/m/d),AppLike GmbH,"Hamburg, Germany","We are looking for a technical and business-savvy BI Lead who will support us in building and scaling our Hit Games to millions of players worldwide.
Sunday is a young and successful startup that develops, publishes and markets hyper-casual mobile games. Our international team of around 30 developers, artists, game designers, marketers and publishing managers reaches an audience of millions of players every day. Our goal is to become one of the leading mobile game companies worldwide within the next years.

We receive immense support to achieve this goal through the AppLike Group. Our sister companies justDice and adjoe provide us with cutting edge marketing and advertising technology. Our growth is secured by a substantial investment from Bertelsmann, one of the biggest media companies worldwide.

If you like to challenge yourself and want to work in a high-performance environment, send us your application!

What will you do:

You will be the bridge between our business / marketing and data strategy
You will own the roadmap for our LTV prediction models and continuously come up with new hypotheses to optimize and automate them
You will support the marketing and monetization team in finding the best profit margin strategy for each of our games
You will actively support the product teams in making strategic decisions and finding the next hit game
You will build and lead a team of analysts and developers
You will own the BI tech architecture and keep performance and computing costs in check



Who you are:
You have excellent analytical skills and can communicate complex topics in a very understandable way
You have strong knowledge in at least one programming language that can be used for data science or BI
You are interested in big data and have outstanding experience in SQL
You easily switch between fast heuristic or highly precise approaches depending on business requirements
You have experience and interest in leading people and like coaching and developing them
Bonus: You have a good understanding of mobile marketing or even game KPIs




Why you will love working here:
Work-Life Package: 2 remote days / week, 30 days vacation, flexible hours, kick-ass office in the center of the city, dog-friendly
Relocation Package: Visa & legal support, relocation bonus, free german class in the office
Happy Belly Package: Company & team lunches, breakfast, tons of free snacks and drinks
Physical & Mental Health Package: Gym membership, Yoga classes
Activity Package: Regular team events, hackathons, company trips
Education Package: 1500€ Budget on top to visit conferences + online training opportunities



Skip writing cover letters. Tell us about your most passionate personal project, your desired salary and your earliest possible start date. We are looking forward to your application!

We celebrate diversity and are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status",06/06/2022
Big Data Engineer (m/f/d),BayWa AG,"Munich, Germany","Full job description




BayWa re



At BayWa re . we're the planet's renewable energy champions. Together, we're taking a fresh look at how power is produced, stored, and used to meet the challenges of climate change. A career with BayWa re lets you drive change globally. With locations in 28 countries, we have over 3,000 people already working across the world, collaborating with local businesses to proactively shape the future of the energy sector.Within BayWa re's operations business, BayWa re Data Services GmbHis rapidly expanding its offerings in the fields of data acquisition and data utilization as a foundation for providing employees and customers with the best experience in adopting digital solutions. Joining the team of Data Services GmbH will provide you with excellent knowledge base, skills and real experience to help catapult a successful career within the renewables sector.

About the role:The Data Engineer (m/f/d) will be responsible for operating, optimizing, and further development of the Data Lakehouse for operational data of renewable energy power plants. This position can be located in one of our Control Centers in eg Germany, UK or Thailand.


What You Will Do

You will be responsible for processing and preparing solar and wind park data in the Microsoft Azure Cloud
You will be in charge of the needs-based data processing using ETL/ELT processes to create reports
You will be responsible for the development of new data sources as well as the analysis and processing of structured and unstructured data
You will develop applications for data transformation, microservices and API connections for data exchange between existing applications and databases (SQL, NoSQL)
You will create a group-wide data catalogue
You will participate in the establishment and further development of a Data Lakehouse concept



Yourprofile

Completed degree in computer science or comparable training
Sound understanding and practical experience in Big Data technologies as well as SQL & NoSQL database systems (experience with CosmosDB desirable)
Experience with ETL / ELT tools (experience with Azure Data Factory desirable)
Good knowledge of NodeJS/JavaScript (ES6+) and Python
Experience with RESTful web services
Knowledge of Microsoft Azure Services (Azure Functions, Databricks, Event Hub, Data Lake Store Gen 2)
Experience with modern concepts for (un)structured data, big data and data lakes
Experience with Power BI desirable
Familiarity with DevOps concepts and agile working methods
Very good communication skills in English



What We Offer You

Mobile working
Flexible working hours
Modern office atmosphere
other benefits apply according to office location



Contact
We look forward to your application!Diversity and Equal OpportunityAt BayWa re we are committed to providing an environment of mutual respect where equal employment opportunities are available to all applicants and teammates.All employment is decided based on qualifications, potential, merit, and business need.We do not discriminate on the basis of origin, religion, color, sex, gender identity, sexual orientation, age, non-disqualifying physical or mental disability, national origin, pregnancy, veteran status or any other basis covered by appropriate law.If you have any questions about the job offer, please get in contact with us.


Sibylle Mueller
HR Manager EMEA
+49 89 383932 5950",16/04/2022
Data Scientist (w/m/d),DekaBank Deutsche Girozentrale,"Frankfurt am Main, Germany","Job Description


employment type
full time



Full job description


Ref. no.: 50037511 / Frankfurt am Main / full-time




Deka Investment GmbH is a subsidiary of DekaBank, the securities house of the Sparkassen-Finanzgruppe. It is part of the Securities business division, in which the Deka Group's securities fund business is bundled. As an investment company, Deka Investment focuses on the management of securities funds for private and institutional investors. The spectrum includes both ""classic"" products such as equity, pension or money market funds as well as innovative offers such as life cycle, value protection or target funds and products for special target groups such as foundations or municipal institutions.









She expects:

In your position, you will be involved in the development of a proprietary data science application based on R/Shiny for the programmed evaluation of capital market data for the front office of the fundamental portfolio management department (CIO office, stocks, bonds, multi-asset)
You analyze the investment process of the Fundamental Portfolio Management division and develop new analysis modules and their interactive integration into the GUI via R Shiny (or HTML and JavaScript)
The creation and connection of internal databases is also one of your tasks
In addition, you assume the technical responsibility and maintenance of the application (documentation, administration of access rights, logging, etc.)
You communicate and (re-)present the results at top management level
Last but not least, they take part in internal and external further training opportunities, especially in the areas of statistics, data science and IT systems







You bring:

Studied business informatics with a focus on statistics and an above-average degree
Excellent programming skills in R and R Shiny, Python, Windows Console/PowerShell, HTML (CSS), JavaScript and knowledge of Java, C and C++ would be an advantage
Sound knowledge of business and economic methods of capital market analysis
Possibly first experience with git and agile working with SCRUM
Very good knowledge of German and English










Your structured and analytical ability to think leads to a great understanding of complex relationships, which you communicate confidently in the operational team and at top management level and with regard to which you can formulate and implement creative and efficient solutions. You work independently and goal-oriented and with a high degree of self-discipline in terms of detail and structure of your work, which is also reflected in the high quality of your work. You are a team player and are characterized by absolute integrity and dedication. A sense of responsibility completes her profile.









Look forward to an attractive environment:




Flexible working hours


Deka-Sport


Employer-funded pension


Mobile working


Canteen/Meal Allowance


Continuing education


health Management


Job ticket RMV area


bike leasing









Have we piqued your interest? We are looking forward for your online application! If you have any questions, please do not hesitate to contact our applicant management at bewerbermanagement@deka.de. Please note that for data protection reasons we are not allowed to accept any applications or additional documents by post or email. Thank you for your understanding.









Susanna Conrad






Stina Borkott
+49 (0)69 7147-3999






Julia Master",30/05/2022
Associate Data Scientist (m/f/d),Umicore,"Auheimer Brücke, 63457 Hanau, Germany","Germany, HanauCorporate Research & DevelopmentResearch & Development
Posted on 02-06-2022



About Umicore


Reducing harmful vehicle emissions. Giving new life to used metals. Powering the cars of the future. As a global materials and technology group, we apply our specialist knowledge to offer materials and solutions that are essential to everyday life. We aim to be a clear world leader in materials for clean mobility and recycling and have turned our sustainability approach into an even greater competitive advantage. With ambitions like this, imagine what you could do?




About Corporate Research & Development


Reducing harmful vehicle emissions. Giving new life to used metals. Powering the cars of the future. As a global materials and technology group, we apply our specialist knowledge to offer materials and solutions that are essential to everyday life.




What you will be doing


Carry out data analytics projects from data exploration to building and training customized machine learning models
Collaborate with different functional teams to implement data-driven models into production and ensure continuous improvements
Work with stakeholders across the organization to identify opportunities for leveraging company data to drive business solutions
In some cases, act also as project coordinator
Strengthen own and group’s expertise in the area of data science and machine learning
Be involved in the IP strategy for the assigned projects




Who we are looking for


An analytical colleague with:Master’s degree in computer science, applied mathematics or engineering with relevant data science specialization (minimum of 2 years working experience preferred)
Thorough knowledge of machine learning techniques (clustering, decision tree, artificial neural networks etc.) and their real-world advantages/drawbacks
Knowledge of advanced statistical techniques and concepts (regression, discriminant analysis etc.)
Good coding knowledge and hands-on experience in Python
Understanding of cloud deployment, experience in Azure Databricks, MLflow and Azure Machine Learning (preferred)
Good networker with an eye for customer centricity
Interest in and exposure to industrial activities, processes and technology
Good oral and written English communication skills, Dutch, French, German, Korean, Japanese, Chinese capabilities are an asset





What we offer


We aim to lead the way. Not just for our customers, but for our employees too. That is why we strive to create a collaborative environment in which we can all succeed, and a culture through which we can all share ideas, develop our expertise and advance our careers. We engage in building an inclusive work culture that offers equal opportunities for all employees irrespective of their diverse backgrounds. As you would expect from a world-leading organisation, we will also reward your contribution with a competitive salary and benefits. With all this and more, imagine what you could do?




If my research can help tackle some of the world’s most pressing challenges, IMAGINE WHAT YOU COULD DO?




We look forward to receiving your application!


Please send your application to: www.umicore.de/de/karriere/Umicore AG & Co. KG | Mr. Erik Steinbrecher | HR HanauRodenbacher Chaussee 4 | 63457 Hanau-Wolfgang



Bewerben",02/06/2022
