jobTitle,Company,Rating,Location,Branche,est_minSalary,est_maxSalary,jobDescription,postDate
Business Analyst (m/w/d) Governance & IT-Security,ING Deutschland,4.6,Frankfurt am Main,Banken,83779,11131,"Sie nehmen unsere Geschäftsprozesse unter die Lupe, mit Blick auf Governance & IT-Security auch durchaus auseinander und fügen anschließend alles wieder passend zusammen. Kein Prozess bleibt ungeprüft, keine Dokumentation bleibt offen und Sie sorgen dafür, dass die Zusammenarbeit mit allen Einheiten optimal gelingt. En Detail analysieren und bewerten Sie die Governance unserer Applikationen und unterstützen Kolleginnen und Kollegen im Kontext relevanter Kontrollanforderungen bei Onboarding und Pflege. Anforderungen managen Sie über alle Bereiche hinweg, koordinieren an internen und externen Schnittstellen (inkl. 2nd Line of Defense) und begleiten Entwicklerinnen und Entwickler bei der Umsetzung. Stets ansprechbar für alle regulatorischen Fragen, z. B. hinsichtlich BAIT und MaRisk, sind Sie bald eine feste Größe, auch über Ihr CISO-Team hinaus, haben beinahe jeden Use Case parat und bringen Bank- und IT-Projekte voran. Abgeschlossenes Studium in BWL / Informatik / Wirtschaftsinformatik o. Ä. Mehrjährige Berufspraxis in vergleichbarer Position im Umfeld Banken / Finanzdienstleistungen Expertise im Bereich Governance und Kenntnisse im Anforderungs- und Prozessmanagement Idealerweise Erfahrung im Projektmanagement (klassisch / agil) Strukturierter, eigenständiger und lösungsorientierter Arbeitsstil Hervorragend in Kommunikation & Präsentation Sehr gutes Deutsch und Englisch, schriftlich wie mündlich",23-05-2022
Business Analyst (m/w/d) International Data Management,GEZE GmbH,3.5,Leonberg bei Stuttgart,Baugewerbe/-industrie,72539,92385,"Einführung von international harmonisierten Prozessen und Systemen für Stammdatenmanagement in enger Abstimmung mit den Fachbereichen und der IT Definition von globalen Standards innerhalb der Datenprozesse unter Einhaltung der definierten Datenqualitätskriterien Analyse von Anforderungen und deren Abstimmung mit Anwendern sowie Entscheidern Entwicklung von Lösungskonzepten und Erstellung von Lastenheften Internationaler Ansprechpartner und Berater für Fachbereiche und die IT in allen Stammdatenfragen Abgeschlossenes Studium der Fachrichtung Wirtschaftsinformatik, IT, Betriebswirtschaftslehre oder in einem fachverwandten Studiengang Mehrjährige Erfahrung im Stammdatenmanagement - idealerweise mit internationaler Ausrichtung Gute SAP Kenntnisse und hohe Affinität zu IT-Architektur und SAP Applikationen Schnittstellen-Kompetenz verschiedener Datensystem (z.B. CAD, SAP ERP, SAP APO) und Grundkenntnisse der Materialkonfiguration Idealerweise Erfahrung im Projektmanagement von Softwareimplementierungsprojekten Analytisches Denkvermögen, hohe Kommunikations- und Auffassungsgabe sowie Lösungsorientierung Sehr gute Deutsch- und Englischkenntnisse",17-05-2022
Business Analyst (m/w/d) Kundenservice IT-Steuerung,Zurich Gruppe Deutschland,,Köln,Versicherungen,65148,8511,"Lust auf eine neue Herausforderung? Als Business Analyst (m/w/d) für die Non Motor Sparten wirst du gemeinsam mit dem Product Owner und dem Feature Team an der Umsetzung und Optimierung der kundenservice-relevanten Prozesse in Guidewire arbeiten! Als Business Analyst identifizierst du die Anforderungen an Prozesse, Funktionen und fachliche Daten gemeinsam mit dem Fachbereich und entwickeln diese weiter Du arbeitest eng mit dem Product Owner, mit den Entwickler:innen, den Tester:innen und den Fachbereichsexpert:innen zusammen Dabei verantwortest du das Requirement Engineering, d.h. die Erstellung von Requirements gemäß den Bedürfnissen des Fachbereiches Persönlich überzeugst du als kommunikative, serviceorientierte Persönlichkeit mit guten analytischen und konzeptionellen Fähigkeiten, die andere mit ihrer Begeisterung ansteckt! Überzeuge uns mit deiner aussagekräftigen Bewerbung, wenn dich zusätzlich noch folgende Qualifikationen auszeichnen: Deine Vita umfasst ein Studium der (Wirtschafts-)Informatik, Mathematik oder Wirtschaftswissenschaften bzw. eine vergleichbare IT- und/oder versicherungsfachliche Ausbildung Die Non-Motor Produkte sowie unsere dazugehörigen Kundenservice-Prozesse sind dir bestens bekannt und du hast bereits erste Erfahrungen mit den Werkzeugen des Requirement Engineering gesammelt Dabei zeichnet dich eine Technik- bzw. IT-Affinität aus und du bist in der Lage komplexe Sachverhalte anschaulich darzustellen Mit deinem Wissen rund um unser Bestandsführungssytem Guidwire kannst du die Bedürfnisse des Kundenservices optimal vertreten Optimalerweise besitzt du auch Kenntnisse in Jira, außerdem konntest du in der Vergangenheit bereits Erfahrung in der agilen Projektwelt sammeln",26-05-2022
Business Analyst (m/w/d) Order Fulfillment,Metabowerke GmbH,,Nürtingen bei Stuttgart,,72449,97439,"Sie erkennen Potenziale innerhalb der Produktions-, Logistik- und Supply Chain-Prozesse und leiten daraus Handlungsempfehlungen ab Sie nehmen Business Anforderungen auf, unterstützen mit Analysen und Auswertungen und erarbeiten automatisierte Lösungen auch in Zusammenarbeit mit unserer IT Sie entwickeln und implementieren Lösungen von der Datenerhebung über die Datenstrukturierung bis hin zur Datenanalyse Sie zeigen die Auswirkungen durch Prozessveränderungen auf die wesentlichen Bereichskennzahlen wie z. B. Service Level, Bestände und Kosten auf Sie bereiten Kennzahlen auf und führen Ad-hoc Analysen durch Sie arbeiten eng mit unserem bestehenden Data & Analytics-Team zusammen Sie haben ein abgeschlossenes Studium im Bereich Wirtschaftsinformatik, (Wirtschafts-) Ingenieurwesen, BWL oder eine vergleichbare Qualifikation Sie haben hohes Interesse sowie Begeisterung für Daten und deren Analyse und haben eine ausgeprägte Fähigkeit komplexe Daten übersichtlich und einfach darzustellen Sie haben eine hohe IT-Affinität Sie sind kommunikationsstark und arbeiten gerne bereichsübergreifend Projektmanagementmethoden und eine selbstständige, strukturierte Arbeitsweise gehören zu Ihren Stärken Kenntnisse in gängigen Reporting-Tools wie Power BI und/ oder SAP Analytics Cloud sind von Vorteil Sie haben sehr gute Deutsch- und Englischkenntnisse",28-05-2022
Business Analyst (m/w/d) Partnersysteme,Wüstenrot & Württembergische AG,,Ludwigsburg,,,,"Sie arbeiten in agilen Projekten mit an der fortschreitenden Digitalisierung der W&W-Gruppe im zentralen Bereich Partnerdaten. Für die von der Einheit verantworteten operativen Partnersysteme sowie die zugehörigen Partnerservices wirken Sie beim Anforderungs- und Auftragsmanagement mit. erstellen Sie Fachkonzeptionen unter Beachtung des komplexen Zusammenspiels der verschiedenen Partnersysteme in der Gruppe. begleiten Sie die IT-Umsetzung, erarbeiten Testkonzepte, Testen und nehmen das Ergebnis ab. Sie sind Ansprechpartner (m/w/d) für operative Fachbereiche bei Produktionsproblemen und Fragen zur Datenqualität. Sie analysieren die Partnerdaten mit Blick auf Datenqualität und Optimierungen, ggf. entwickeln Sie dabei auch komplexere Analyseprogramme. Studium der Wirtschaftsinformatik, der Wirtschaftswissenschaften oder vergleichbare Ausbildung Erfahrung in der Projektarbeit, idealerweise in agilen Teams, und in der Fachkonzeption Ausgeprägte konzeptionelle und analytische Fähigkeiten sowie eine strukturierte Arbeitsweise und ein hohes Maß an Eigenverantwortung Ergebnisorientierung und Umsetzungsfähigkeit Kenntnisse im Partnerdaten­mana­gement und von Partnerprozessen sowie Programmierkenntnisse mit SAS von Vorteil Teamfähigkeit, Kommunikationsstärke und Konfliktfähigkeit",25-05-2022
Business Analyst (m/w/d) Product Leadership Strategy,Hilti Deutschland AG,,Kaufering,Baugewerbe/-industrie,63636,8228,"In this position, you will act as a business partner for all members of the product leadership community on performance-related topics in analytics and marketing reporting (e.g. conducting deep dive business analysis, providing regular insights to support marketing management in implementing & developing marketing strategies). In addition, you will ensure an up-to-date reporting landscape for the entire Hilti program, including the provision of ad hoc analysis for senior marketing management and preparation of related management meetings. Your key interfaces will be the product- and division managers, whom you will help to create a fact base for specific marketing strategies and plans. Beside of that, you will ensure that the reporting infrastructure (SQL Server) and current reporting technology (Power BI, SAC) is running properly.Discover a global company where you can develop your full potential. We offer an enjoyable working environment where we embrace your commitment. Build a better future with us! For our team in Kaufering (near Munich) we’re looking for you! What you need is: Master in economics in Business Administration or similar. First working experiences in marketing/sales or controlling. Strong analytical and problem-solving skills in data handling, analysis, modeling and interpretation. Demonstrated knowledge of data modeling (Datalake, Power BI, Tableau, SAP Analytics Cloud...) and data provisioning (SQL, Azure). Strong and proven SAP/R3/BI (or comparable database know-how) and IT knowledge including MS Office (SQL, Access, Excel). Excellent oral and written presentation and communication skills in English.",29-05-2022
Business Analyst (m/w/d) Risk & Finance,Hanseatic Bank,4.1,Hamburg,Banken,58944,76212,"Als Teil des crossfunktionalen Teams Factoring & Payment Business erschaffst du Lösungen, die unsere Partner begeistern. Unser Team entwickelt und optimiert innovative Produkte im B2B-Bereich. Im Sinne der agilen Prinzipien bist du als Business Analyst (m/w/d) Risk & Finance im Factoring-Geschäft für Folgendes zuständig: Du hast den Durchblick: Du bist fachliche*r Sparringspartner*in für den Product Owner der Factoring-Software und damit verantwortlich für den fachlichen Gesamtprozess, d. h. vom Eingang der Forderungen bis zur erfolgreichen Abrechnung und Auszahlung. Du hältst die Fäden zusammen: Du koordinierst die Zusammenarbeit zwischen fachlicher und technischer Produktentwicklung sowie dem Finanzwesen (für die Abrechnung) und dem Risikocontrolling. Du packst mit an: Du identifizierst notwendige fachliche Anpassungen und dokumentierst die Anforderungen für unseren IT-Partner. Du zeigst Teamgeist: Gemeinsam mit deinen Kolleg*innen konzipierst, testest und dokumentierst du die Weiterentwicklung der Abrechnungssoftware für unser Factoring-Geschäft. Dein Wissen ist gefragt: Du unterstützt Kolleg*innen, Kund*innen und Stakeholder*innen bei der Vertiefung ihres Factoring-Know-hows. Dein Ausbildungsweg ist für uns zweitrangig: Viel wichtiger ist uns, dass du bereits Berufserfahrung im Bereich Risk/Finance mitbringst und dass wir zueinander passen. Du bist technikaffin und die Arbeit mit Excel steht schon lange auf deiner Tagesordnung? Du kennst dich auch mit JIRA und Confluence aus? Perfekt! Du arbeitest gern selbstständig und informierst deine Kolleg*innen proaktiv und regelmäßig über den aktuellen Arbeitsstand. Idealerweise bringst du Kenntnisse im agilen Requirements Engineering mit, um mühelos die Anforderungen zwischen den Fachabteilungen und der IT zu vermitteln. Du hast ein Auge für Details und arbeitest gewissenhaft. Ein agiles Mindset ist für dich genauso selbstverständlich wie eine gute Kommunikation auf allen Ebenen.",27-05-2022
Business Analyst (m/w/d) Sales,ASSFINET GmbH,,Grafschaft (Raum Bonn),IT & Internet,59744,77247,"Sie wollen Ihre Branchenkenntnisse aus neuer Perspektive nutzen? Bei assfinet haben Sie die besten Voraussetzungen, unseren Bereich Sales weiter voranzutreiben und sowohl Neukunden als auch insbesondere bestehende Kunden von uns zu begeistern und sie bei ihren Geschäftsprozessen zu unterstützen: Neu- und Bestandskundenbetreuung während der gesamten Entscheidungsphase Bewertung von Kundenanforderungen Evaluierung von Lösungsansätzen zur möglichen Optimierung der Prozessdigitalisierungen Schnittstelle zwischen Vertrieb und Projektentwicklung Begleitung und Unterstützung des gesamten Einführungsprojekts Vorstellung und Präsentation unseres Standardproduktportfolios und unserer Dienstleistungen Aftersales bzgl. neuer, innovativer Lösungen im Bestandskundengeschäft Teilnahme an Fachmessen und Unterstützung bei der vertrieblichen Vor- und Nachbereitung Vorbereitung, Durchführung und Erfolgscontrolling von Vertriebsaktivitäten Beantwortung von vertrieblichen Ad-hoc-Anfragen sowie die Durchführung von Benchmark-Analysen Ausbildung im Versicherungs- oder Finanzumfeld oder betriebswirtschaftliches Studium Mehrjährige Berufserfahrung in der Versicherungsbranche mit sehr guten Kenntnissen der Wertschöpfungskette und der wesentlichen Transaktionen eines Versicherungsunternehmens, insbesondere des Maklergeschäfts Hohe IT-Affinität sowie ausgeprägte technische und analytische Fähigkeiten Vertriebliches Geschick und ein verbindliches Auftreten Service- und lösungsorientierte Persönlichkeit mit Organisationstalent und abteilungsübergreifendem Denken",17-05-2022
Business Analyst (m/w/d) Sales & Marketing,Delticom AG,3.2,Hannover,IT & Internet,55632,7193,"Du analysierst die Performance unserer Onlineshops im Bereich B2C und B2B Effizienz- und Kostenanalysen für sämtliche Marketingmaßnahmen sowie Ableitung entsprechender Handlungsempfehlungen gehören zu Deinem Aufgabenbereich Du bist für die Entwicklung, das Reporting und Visualisierung (mittels Datenanalysetools) von KPIs verantwortlich Du verbesserst die Datenqualität und vereinfachst die Datennutzbarkeit Die Standardisierung von Analyseprozessen und kontinuierliche Qualitätssicherung bestehender und neuer Dashboards ist Deine Aufgabe Zudem führst Du die Aggregation, Analyse und Bewertung der Datenstrukturen aus unterschiedlichen Fachbereichen wie Einkauf, Marketing, Vertrieb, Shop und Markt durch Du hast ein abgeschlossenes Studium im Bereich BWL oder Wirtschaftsingenieurwesen oder vergleichbare Aus- und Weiterbildung Du verfügst über einschlägige Berufspraxis in ähnlicher Position Du hast Erfahrung im Projektmanagement und Interesse am Online-Handel Fundierte Kenntnisse in Google Analytics und MS Excel setzen wir voraus Know-how in weiteren Datenanalysetools wie Qlik oder Tableau ist wünschenswert sicheres Englisch ist für Dich selbstverständlich Du hast analytische Kompetenz sowie Verständnis für Prozesse und betriebswirtschaftliche Zusammenhänge Kommunikationsvermögen sowie eigenverantwortliche und strukturierte Arbeitsweise bei gleichzeitigem Teamgeist zeichnen Dich aus",25-05-2022
Business Analyst (m/w/d) Schwerpunkt Testmanagement,SV SparkassenVersicherung,4.2,Stuttgart,Versicherungen,,,"Sie über­tragen und ent­wickeln das Test­management im Kontext des SAP S/4HANA-Trans­formations­projekts weiter (insbesondere Konzep­tion, Koordi­nation und Kontrolle der Test­aktivitäten im Projekt) Sie arbeiten maßgeblich bei der Gestal­tung der neuen SAP-Anwendungs­land­schaft mit (u. a. SAP Finance, Group Repor­ting, PaPM, Cash Management, Sour­cing and Pro­curement, FS-CML, FS-CMS, FS-CD, RE-FX) Zudem wirken Sie bei der itera­tiven Fein­planung der nächsten Umsetzungs­schritte mit Sie analysieren Systeme und Pro­zesse und treiben aktiv Optimierungen voran Sie arbeiten in einem inter­disziplinär besetzten Umsetzungs­team aus Fach-/DVK- und IT-Bereich mit und koordi­nieren das Team perspek­tivisch Weiterhin gehört die kontinuierliche Weiter­entwicklung und Auto­matisierung von regres­siven Test­szenarien zu Ihrem Aufgaben­feld Abgeschlossenes Stu­dium der (Wirt­schafts-)Infor­matik, Wirt­schafts­wissen­schaften, Mathematik oder einen vergleich­baren Ab­schluss Idealerweise bringen Sie Erfah­rungen mit SAP S/4HANA Finance und in der Projekt­arbeit im Versicherungs­umfeld oder dem Rechnungs­wesen mit Eine ausgeprägte Methoden­sicherheit im Projekt- und Prozess­management ist von Vor­teil Sie zeichnen sich durch eine ziel­orientierte, selbstständige und sorgfältige Arbeits­weise aus Darüber hinaus haben Sie eine rasche Auffassungs­gabe, eine starke Durchsetzungsfähigkeit und sind team­orientiert Ihre Kommunikationsstärke rundet neben der hohen Service­orientierung Ihr Profil ab.",22-05-2022
Business Analyst (m/w/d) Versicherung,SOLFIN GmbH,,München,Versicherungen,61544,80696,"Als Business Analyst (m/w/d) sind Sie die Schnittstelle zwischen der Fachabteilung unserer Kunden und unserer IT Sie analysieren betriebliche Abläufe von Bestand-, Schaden- und Vertriebssystemen und leiten daraus Anforderungen für ein geeignetes Zielbild ab Die Vorbereitung, Moderation und Auswertung von Kundenworkshops zur Anforderungsaufnahme sowie Definition des Zielbildes gehören ebenfalls zu Ihren Aufgaben Auf Basis Ihrer Analysen beraten Sie unsere Kunden bei der Optimierung und Neugestaltung von Geschäftsprozessen Sie begleiten unseren Kunden und unser IT-Team gleichermaßen bei der Umsetzung Als Mitglied eines agilen Projektteams arbeiten Sie teilweise auch beim Kunden vor OrtIhr wirtschaftswissenschaftliches Studium idealerweise mit dem Schwerpunkt Versicherungen und/oder Ihre Ausbildung zum Kaufmann für Versicherungen und Finanzen (m/w/d) haben Sie erfolgreich abgeschlossen Sie haben bereits Berufserfahrung in der Business-Analyse an der Schnittstelle zwischen Fach- und IT-Abteilungen gesammelt Ausgezeichnete Kommunikations- und Moderationsfähigkeiten sowie analytisches Denkvermögen gehören zu Ihrem Skillset Sie bringen ein hohes Maß an Kundenorientierung mit",24-05-2022
Business Analyst (m/w/d) WMS,DACHSER SE,4.0,Kempten,Transport & Logistik,,,"Betreuung und Weiterentwicklung unseres eigens konzipiertes Warehouse Management System (WMS) Analyse und Bewertung geschäftlicher IT-Anforderungen aus den Niederlassungen im In- und Ausland und Erarbeitung systemtechnischer Lösungsvorschläge Planung, Steuerung und Kontrolle bei der Umsetzung notwendiger Programmierung durch die IT Dokumentation und Qualitätssicherung im Rahmen von Funktionstests Abgeschlossenes Studium im Bereich (Wirtschafts-) Informatik oder entsprechende Berufserfahrung im Tätigkeitsumfeld Idealerweise Kenntnisse in Warehouse- bzw. Logistikprozesse Englisch in Wort und Schrift Ausgeprägte analytische Fähigkeiten sowie vernetztes Denken und sorgfältiges Handeln Teamplayer, mit hohem Maß an selbstständiger Arbeitsweise und Verantwortungsbewusstsein",14-05-2022
Business Analyst (m/w/d) WebLife,Zurich Gruppe Deutschland,,Köln,Versicherungen,72168,91912,"In deiner Rolle als Business Analyst (m/w/d) WebLife gehören folgende, spannende Aufgaben zu deinem Tätigkeitsgebiet: Du fungierst als Schnittstelle von IT zu Business und erarbeitest Lösungsdesigns, Spezifikationen und Mockups gemeinsam mit dem Entwicklungsteam und den Anfordernden Dein Aufgabengebiet ist dabei vielfältig - Du bist für die Evaluierung, Beauftragung und Umsetzung von IT-Anforderungen zuständig Auch die zielorientierte Kommunikation mit Fachbereichs- und IT-Partner:innen gehört zu deinem Daily Business Mit deiner Erfahrung erstellst du fachliche Designs und kümmerst dich um die Vorbereitung, Durchführung und Dokumentation von Spezifikations- und Abnahmetests (Testorganisation und Testmanagement) Du identifizierst dich mit den Anforderungen an Prozesse, Funktionen und fachliche Daten und verstehst diese Anforderungen sowohl wirtschaftlich als auch technisch Du hast Spaß daran, Dinge voranzutreiben und weiterzuentwickeln. Bei uns bekommst du in einem agilen Team die Möglichkeit deine Ideen aktiv innerhalb von Projekten mit einzubringen In der Vergangenheit konntest du bereits Erfahrungen in der Arbeit in agilen Projekten (SAFe und/oder Scrum) sammeln und du hast Lust, diese nun in einem neuen Umfeld einzubringen. Überzeuge uns mit deiner aussagekräftigen Bewerbung, wenn du zusätzlich folgende Qualifikationen mitbringst: Deine Vita umfasst ein erfolgreich abgeschlossenes Studium der Informatik oder der Wirtschaftsinformatik bzw. eine vergleichbare, erfolgreich abgeschlossene Berufsausbildung Du kannst gute Kenntnisse der Anwendungslandschaften sowie Kenntnisse in den marktüblichen IT-Spezifikations-Sprachen (UML, BPMN, …) vorweisen und bist mit den Werkzeugen des Requirement Engineerings bestens vertraut Deine Stärke ist dein grundlegendes Verständnis für Versicherungsprodukte und Vertriebsprozesse - und besitzt bereits Erfahrungen in diesem Bereich Der Umgang mit den wichtigsten Werkzeugen in der Analyse, Modellierung und in agilen Arbeitsteams (z.B. JIRA, Confluence) ist für dich selbstverständlich",25-05-2022
Business Analyst (m/w/d) Wertpapierprozesse,ING Deutschland,4.6,Nürnberg,Banken,61159,79077,"Im Tribe „Make your Money grow“ werden alle Wertpapier- und Sparprodukte der Bank in einer cross-functional Abteilung entwickelt. Und hier kommen Sie ins Spiel, denn jedes agile Team braucht einen Technik-Profi mit Überblick und Fingerspitzengefühl, um auf Zielkurs zu bleiben. Als fachlicher Product Owner steuern sie die fachliche Ausrichtung einer Einheit, übersetzen Anforderungen in Aufgaben, konzipieren Stories sowie Epics und stimmen Business Requirements ab. Selbstverständlich führen Sie auch Stakeholderanalysen durch und koordinieren die Release-Prozesse im Zusammenspiel mit anderen Abteilungen der Bank sowie externen Dienstleistern. Last but not least unterstützen Sie Ihr Team bei Operations und Administration. Studium der Wirtschaftswissenschaften, MINT oder eine vergleichbare Qualifikation Erfahrung mit transaktionsbezogenen technischen Prozessen, idealerweise in der Finanzwirtschaft / im Wertpapiergeschäft Know-how in der Modellierung von neuen Geschäftsprozessen (bzw. in der Optimierung bestehender Prozesse) im Rahmen neuer und bestehender Anwendungen Praxis in agilen Standard-Tools (Jira / ServiceNow / Confluence) Analytische und strukturierte Arbeitsweise mit gutem ITVerständnis Kommunikationsstark auf Deutsch und Englisch, in Wort und Schrift",29-05-2022
Business Analyst (m/w/d) eCommerce,Eppendorf SE,3.4,Hamburg,Sonstiges produzierendes Gewerbe,41984,55281,"Als Business Analyst eCommerce übernehmen Sie die Product-Owner-Rolle für unsere globale eCommerce-Plattform SAP Commerce und treiben die Weiterentwicklung der Eppendorf eShops und Punchouts (OCI, cXML) voran. Die Strategie und Entwicklungs-Roadmap für das SAP Commerce erarbeiten Sie in enger Abstimmung mit dem Head of Marketing Technology, dem Team Lead Platform Management und dem Head of IT System Integration. Sie arbeiten in einem internationalen und interdisziplinären Projektteam und sind zuständig für das Anforderungsmanagement, schulen und beraten Stakeholder in technischen eCommerce-Fragen. Sie erarbeiten Projektpläne, halten den Projektfortschritt nach und sorgen für die Einhaltung der Projektbudgets. Sie stellen die fristgerechte Umsetzung der Anforderungen im Rahmen agiler Entwicklungsprozesse sicher und koordinieren Parallelentwicklungen für Schnittstellenprozesse in Backend-Systemen (SAP ERP, MS Dynamics CRM etc.) in Kooperation mit der Eppendorf IT. Zudem koordinieren Sie Schulungen für AnwenderInnen im SAP Commerce und bereiten Schulungsinhalte und Dokumentationen vor. Sie haben ein abgeschlossenes Masterstudium im Bereich der Wirtschafts-, Kommunikations- oder Medienwissenschaften, Informatik, oder eine vergleichbare Ausbildung. Sie bringen eine mehrjährige Erfahrung als Business Analyst, Product Owner oder Projektmanager in agilen eCommerce-Software-Entwicklungsprojekten mit. Sie haben Erfahrung und Interesse an Digitalisierung und der Weiterentwicklung von Software-Lösungen mit Blick auf die Kundenbedürfnisse. Idealerweise haben Sie bereits Erfahrung mit SAP Commerce oder einer vergleichbaren eCommerce-Plattform gesammelt und eine entsprechende Zertifizierung. Sie haben sehr gute Kenntnisse agiler Kollaborations-Software wie Jira, Confluence oder eines vergleichbaren Tools. Sie können verhandlungssicher in Englisch kommunizieren. Sie müssen Deutsch nicht als Muttersprache sprechen, wir würden uns aber wünschen, dass Sie Deutsch lernen und bieten Ihnen eine entsprechende Weiterbildung an.",20-05-2022
Business Analyst (m/w/d) für Projektarbeit,Deutsche Bundesbank,4.0,Frankfurt am Main,Banken,72388,93595,"Sie entwickeln unsere Datenbank zu Unternehmensmasterdaten (RIAD), die als Central Hub innerhalb des ESZB sowie des Einheitlichen Europäischen Aufsichtsmechanismus‘ (SSM) positioniert ist, über IT-Projekte methodisch und konzeptionell weiter. Hierfür erstellen Sie Fachkonzepte auf Grundlage der Anforderungen in- und externer Nutzer, bauen die Nutzung des Masterdatenregisters durch bestehende Statistiken und Verknüpfung der Datenbestände mit anderen internen Stammdatenbanken aus, konzipieren Testspezifikationen, Testfälle und Testprotokolle und entwickeln Matchingverfahren und Validierungsregeln mit dem Ziel eines möglichst hohen Automatisierungsgrads. Darüber hinaus bringen Sie Ihre Expertise auch in das Anforderungs-, Change- und Release-Management weiterer Großprojekte ein, bauen ein systematisches Datenqualitätsmanagement auf und vertreten die Bundesbank in nationalen und internationalen Arbeitsgruppen. Akkreditierter Master- oder gleichwertiger Studienabschluss der Wirtschaftswissenschaften, Statistik, Mathematik, Wirtschaftsinformatik oder vergleichbarer Fachrichtungen Erfahrung in einem der folgenden Bereiche: Aufnahme und Strukturierung von Anforderungen bei Stakeholdern sowie darauf basierende Konzipierung von Systemanforderungen für eine IT Umsetzung Konzipierung, Strukturierung und Durchführung von Software Tests sowie Softwareautomatisierung Konzipierung und Erstellung von Analysen und Softwarelösungen in Kombination mit Mikrodatenbeständen unter Verwendung gängiger statistischer Auswertungssprachen (bspw. R oder Python) Ausgeprägte Fähigkeit zur Analyse, Bewertung und prägnanten Darstellung komplexer Sachverhalte, ausgeprägte kommunikative Fähigkeiten, Teamfähigkeit Sehr gute Deutsch- und Englischkenntnisse in Wort und Schrift",16-05-2022
Business Analyst (m/w/d) für Steuern,Sopra Financial Technology GmbH,,Nürnberg,Banken,50270,64553,"Du bist verantwortlich für die Betreuung und Beratung, sowie für den Support für allgemeine Steuerfragen, im deutschen Steuerrecht mit den erforderlichen Arbeitsprozessen (Second-Level-Support) Du stehst im regelmäßigen Kontakt mit unseren Kunden und bist zuständig für die fachliche und organisatorische Unterstützung und Beratung der Banken Du erstellst im Team Softwarekonzepte Du unterstützt bei der Erstellung von bankfachlichen Anforderungen und führst fachliche Tests durch Du betreust und begleitest Projekt- und Anwendungsrollouts und stimmst Dich mit den Projektkernbanken regelmäßig ab Du bist fachlich verantwortlich für die Koordination von Produktweiterentwicklungen Du verfügst über ein abgeschlossenes Betriebswirtschaftsstudium oder eine vergleichbare Ausbildung mit mehrjähriger Berufserfahrung im Bereich Steuern Du kennst das deutsche Steuerrecht in Bezug auf die Bewertung und Belastung bei den Banken und kannst diese umsetzen Du kennst thematisch die Hintergründe der unterschiedlichen Steuern Du hast Dich schon mit den Auswirkungen von Negativzinsen befasst Du bist ein kommunikationsstarker Teamplayer Gute Deutsch - und Englischkenntnisse in Wort und Schrift runden Dein Profil ab",23-05-2022
Business Analyst (m/w/d) für den Zahlungsverkehr,Sopra Financial Technology GmbH,,Nürnberg,Banken,58831,76066,"Du bist verantwortlich für die Betreuung und Beratung, sowie für den Support der zugeordneten Zahlungsverkehrs-Prozesse (Second-Level-Support) Du stehst im regelmäßigen Kontakt mit unseren Kunden und bist zuständig für die fachliche und organisatorische Unterstützung und Beratung der Banken rund um den Zahlungsverkehr Du erstellst im Team Softwarekonzepte Du unterstützt bei der Erstellung von bankfachlichen Anforderungen und führst fachliche Tests durch Du betreust und begleitest Projekt- und Anwendungsrollouts und stimmst Dich mit den Projektkernbanken regelmäßig ab Du bist fachlich verantwortlich für die Koordination von Produktweiterentwicklungen Du verfügst über ein abgeschlossenes Betriebswirtschafts-Studium oder eine vergleichbare Ausbildung mit mehrjähriger Berufserfahrung im Bereich Zahlungsverkehr Du kennst das Interbanken-Zahlungsverkehrswesen und hast in diesem Bereich bereits erfolgreich gearbeitet Du kennst die Zahlungs-Abläufe mit der Deutschen Bundesbank und die dazugehörenden Prozesse Du hast Dich thematisch im Thema‚ Instant Payments‘ eingearbeitet und kennst die notwendigen Hintergründe Du bist ein kommunikativer Teamplayer Gute Deutsch- und Englischkenntnisse in Wort und Schrift runden Dein Profil ab",23-05-2022
Business Analyst (m/w/d) im operativen Einkaufscontrolling,VTG Aktiengesellschaft,,Hamburg,,51802,66978,"Prognose von ungeplanten Ereignissen, insbesondere Reparaturen von Eisenbahngüterwagen (beginnend bei der Analyse bestehender Daten bis hin zur Konzeption eines Predictive-Maintenance-Systems) Jährliche Planung und Kontrolle von Instandhaltungsmaßnahmen unserer Wagenflotte (z.B. Revisionen, Kesselprüfungen) in Abstimmung mit den internen Kunden wie z.B. Customer Operations Management Erstellen diverser Auswertungen und Reports Mitarbeit an IT-Optimierungen zur Vereinfachung und Digitalisierung von Prozessen Erfolgreich abgeschlossenes Studium der Wirtschaftswissenschaften, idealerweise mit Schwerpunkt Controlling Erfahrungen im Umgang mit Business-Intelligence-Tools bzw. Bereitschaft zur Einarbeitung Branchenkenntnisse im Bahnsektor wünschenswert Sehr gute Kenntnisse in den gängigen Microsoft-Office-Anwendungen, insbesondere in Excel Analytisches Verständnis und strukturierte Arbeitsweise Kommunikationsvermögen im Kontakt mit unterschiedlichen Schnittstellen Eigenverantwortliche und ergebnisorientierte Arbeitsweise Sichere Englischkenntnisse (in Wort und Schrift)",23-05-2022
